participant,age,education,form,sentence,order,visible,acceptable,correctable,additional,add_inf,acceptable_inf
P230,20,неполное высшее,Last4,32,6,1,1,1,0,,1
P230,20,неполное высшее,Last4,17,7,1,1,0,0,,
P231,22,высшее,Last4,23,1,1,1,1,0,,1
P231,22,высшее,Last4,26,2,1,1,1,0,,1
P231,22,высшее,Last4,27,3,1,1,0,1,поменял словосочетание,транспортные средства
P231,22,высшее,Last4,28,4,1,1,1,1,ее - одежду,1
P231,22,высшее,Last4,30,5,1,1,1,1,шансы - шанс,1
P231,22,высшее,Last4,32,6,1,1,1,0,,1
P231,22,высшее,Last4,17,7,1,1,0,0,,выбросы
P232,21,неполное высшее,Last4,23,1,1,1,0,0,,выгодную
P232,21,неполное высшее,Last4,26,2,1,1,1,0,,1
P232,21,неполное высшее,Last4,27,3,1,0,0,0,,0
P232,21,неполное высшее,Last4,28,4,1,1,1,1,одежды - ' '; исправил пунктуацию,1
P232,21,неполное высшее,Last4,30,5,0,0,0,0,,0
P232,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P232,21,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P233,21,неполное высшее,Last4,23,1,1,1,0,0,,доминирующую
P233,21,неполное высшее,Last4,26,2,0,0,0,0,,0
P233,21,неполное высшее,Last4,27,3,0,0,0,1,лучше - менее вредными,0
P233,21,неполное высшее,Last4,28,4,1,1,1,0,,1
P233,21,неполное высшее,Last4,30,5,1,1,1,0,,1
P233,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P233,21,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
